groupId,name,id,urlkey
18855435,"Information Architecture",1369,"ia"
18855435,"New Technology",9696,"newtech"
18855435,"Technology",10579,"technology"
18855435,"Cloud Computing",15167,"cloud-computing"
18855435,"Information Technology",15568,"information-technology"
18855435,"Big Data",18062,"big-data"
18855435,"Marketing & Sales",50452,"marketing-sales"
18855435,"Data Storage",106353,"data-storage"
18855435,"Storage Virtualization",112651,"storage-virtualization"
18855435,"Storage Solutions",146775,"storage-solutions"
18855435,"Technology Sales Professionals",162599,"technology-sales-professionals"
18712594,"Software Development",3833,"softwaredev"
18712594,"Logistics",9339,"logistics"
18712594,"Enterprise Resource Planning",9900,"erp"
18712594,"Supply Chain Management",10486,"scm"
18712594,"Business Intelligence",10538,"businessintell"
18712594,"Transportation",17797,"transportation"
18712594,"Data Visualization",37381,"data-visualization"
18712594,"Predictive Analytics",38458,"predictive-analytics"
18712594,"Operations Management",61404,"operations-management"
18712594,"Effective Inventory Management",95928,"effective-inventory-management"
18712594,"Business Analytics",98842,"business-analytics"
18712594,"Demand Planning",131203,"demand-planning"
18712594,"Business Optimization",163142,"business-optimization"
18712594,"Supply Planning",240791,"supply-planning"
18712594,"Production Control",510542,"production-control"
19550231,"Open Source",563,"opensource"
19550231,"Software Development",3833,"softwaredev"
19550231,"Continuous Integration",27922,"continuous-integration"
19550231,"Computer programming",48471,"computer-programming"
19550231,"Test Automation",65172,"test-automation"
19550231,"DevOps",87614,"devops"
19550231,"Infrastructure as Code",126177,"infrastructure-as-code"
19550231,"Continuous Delivery",166000,"continuous-delivery"
19550231,"Jenkins",186961,"jenkins"
19550231,"Continuous Deployment",230351,"continuous-deployment"
19550231,"Build Automation",1142662,"build-automation"
19550231,"Docker",1454542,"docker"
19545114,"Open Source",563,"opensource"
19545114,".NET",827,"dotnet"
19545114,"C#",2260,"csharp"
19545114,"Software Development",3833,"softwaredev"
19545114,"Web Technology",10209,"web"
19545114,"Web Development",15582,"web-development"
19545114,"ASP.NET",16136,"asp-net"
19545114,"CMS (Content Management Systems)",28990,"cms"
19545114,"Computer programming",48471,"computer-programming"
19545114,"Umbraco",79401,"umbraco"
19545114,"Web design and programming",142091,"web-design-and-programming"
19545114,"Resonsive Web Design and Umbraco",1073112,"resonsive-web-design-and-umbraco"
14926102,"Open Source",563,"opensource"
14926102,"Robotics",682,"robotics"
14926102,"DIY (Do It Yourself)",10438,"diy"
14926102,"Hacking",21123,"hacking"
14926102,"Makers",43887,"makers"
14926102,"Visual Arts",44750,"visual-arts"
14926102,"Makerspaces",101438,"makerspaces"
12373532,"Customer Service",2280,"customerservice"
12373532,"Cloud Computing",15167,"cloud-computing"
12373532,"Customer Relationship Management",15241,"customer-relationship-management"
12373532,"Virtualization",20479,"virtualization"
12373532,"SaaS (Software as a Service)",33089,"saas-software-as-a-service"
12373532,"Managed Services",44296,"managed-services"
12373532,"IaaS (Infrastructure as a Service)",107633,"iaas-infrastructure-as-a-service"
12373532,"SaaS marketing",198371,"saas-marketing"
12373532,"Customer Experience Management",545252,"customer-experience-management"
12373532,"CXM",545262,"cxm"
12373532,"CEM",545272,"cem"
12373532,"Customer Retention",827502,"customer-retention"
12373532,"Customer support",870962,"customer-support"
12373532,"customer success",1013842,"customer-success"
12373532,"Customer Success Management",1456762,"customer-success-management"
3917342,"Open Source",563,"opensource"
3917342,"Web Design",659,"webdesign"
3917342,"Graphic Design",781,"graphicdesign"
3917342,"Software Development",3833,"softwaredev"
3917342,"Social Networking",4422,"socialnetwork"
