id,name,city,address_1,address_2,lat,lon
10076622,"Oracle Campus - Building 5, Rocky Mountain Conference Room Room #1023","Broomfield","500 Eldorado Blvd",,39.919266,-105.124352
1009735,"Harlequin Plaza, North","Englewood","7600 E. Orchard Rd",,39.607646,-104.900672
1009974,"DeVry University","Westminster","1870 W. 122nd Ave.",,39.919343,-105.008897
10106642,"Maroon Bells 1 & 2   ","denver"," 7595 Technology Way Suite 400, 80237",,39.630562,-104.902756
1018418,"Boulder County Fairgrounds","Longmont","9595 Nelson Road",,40.155854,-105.127888
10191402,"SendGrid Denver Office","Denver","1451 Larimer Street,  3rd Floor ",,39.747997,-104.998985
10212072,"Factory Design Labs","Denver","158 Fillmore Street",,39.718925,-104.953217
10246392,"Rock Bottom Brewery & Restaurant  Buffalo Lounge","Denver","9627 East County Line Road Englewood, Colorado 80112",,39.568432,-104.873993
1025327,"Denver Marriott City Center","Denver","1700 California Street",,39.746127,-104.990955
10256292,"Simple Energy","Boulder","1215 Spruce Street #201",,40.019268,-105.280037
10307402,"Casselman's Bar and Venue","Denver","2620 Walnut Street",,39.759495,-104.985664
1037682,"Atlas Purveyors","Boulder","1505 Pearl St",,40.018913,-105.275948
10428632,"Google","Boulder","2600 Pearl Street",,40.02187,-105.26004
10494232,"Cable Center","Denver","2000 Buchtel Boulevard",,39.683804,-104.963547
10515022,"Co-Motion","Boulder","3200 Carbon Place Suite 101, Boulder, CO 80301",,40.026299,-105.25177
10517252,"Spire Media","Denver","2911 Walnut Street",,39.762394,-104.9823
1063100,"Google Boulder","Boulder","2590 Pearl Street",,40.02151,-105.261008
10640372,"Crankset Business Transformation Center - Triad North","Greenwood Village","5660 Greenwood Plaza Blvd., Suite 110",,39.61367,-104.898232
10699092,"Battery 621","Denver","621 Kalamath Street",,39.726021,-105.00016
10792502,"Cisco Systems","Centennial","9155 East Nichols Avenue",,39.572102,-104.882332
10878262,"Sports Data Hub Offices at Galvanize","Denver","1062 Delaware St",,39.733536,-104.992615
1092008,"PS Lounge","Denver","3416 E Colfax Ave",,39.739928,-104.946715
1098756,"Hooked on Colfax","Denver","3213 E. Colfax",,39.740376,-104.949656
11005272,"Redline","Denver","2350 Arapahoe Street",,39.754837,-104.986153
1111223,"Regis University","Denver","3333 Regis Blvd",,39.787598,-105.032366
11125962,"Black Eye Coffee Shop","Denver","3408 Navajo Street",,39.764633,-105.004105
11216662,"Deloitte Digital","Denver","1400 16th Street, Suite 450 (16th between Blake and Market)",,39.737568,-104.984718
1131835,"Oskar Blues","Lyons","310 Main Street",,40.224628,-105.267809
1132080,"TBD","Denver, CO","TBD",,39.739154,-104.984703
11330132,"University of Colorado Boulder","Boulder","ECCR 265 ( for directions see http://www.colorado.edu/cs/about/directions )",,40.014984,-105.270546
11342732,"Boulder Valley Unitarian Universalist Fellowship","Lafayette","1241 Ceres Dr",,39.988613,-105.113495
11433262,"Google Boulder","Boulder","2610 Pearl St",,40.021675,-105.260658
11454892,"Press Play","Boulder","1005 pearl street",,40.017544,-105.282356
11476472,"FUSE at the Riverside","Boulder","1724 Broadway",,40.014591,-105.278809
11530802,"Punch Bowl Social","Denver","65 Broadway",,39.71793,-104.987984
